Timestamp,Site,Rank,Keyword,Detail
2026-08-15 11:23:52,Signal,1,LG 새 투수 존 케네디,동일
2026-08-15 11:23:52,Signal,2,"장동혁, 집회 발언",신규
2026-08-15 11:23:52,Signal,3,홍지민 무명 독립운동가 헌정,신규
2026-08-15 11:23:52,Signal,4,BTS 그래미 아시안팝,동일
2026-08-15 11:23:52,Signal,5,"션, 광복절 81.5KM 완주 성공",신규
2026-08-15 11:23:52,Signal,6,더불어민주당 당대표 후보,신규
2026-08-15 11:23:52,Signal,7,체포,신규
2026-08-15 11:23:52,Signal,8,콜 오브 듀티,신규
2026-08-15 11:23:52,Signal,9,인도네시아 7.7 강진 사망,동일
2026-08-15 11:23:52,Signal,10,장인화,신규
2026-08-15 11:23:52,Daum,1,홍지민 독립운동가 딸,상승
2026-08-15 11:23:52,Daum,2,삼성 양창섭 헤드샷 퇴장,신규
2026-08-15 11:23:52,Daum,3,여한구 직권면직,신규
2026-08-15 11:23:52,Daum,4,인도네시아 지진,상승
2026-08-15 11:23:52,Daum,5,박영진 샤워 성지,신규
2026-08-15 11:23:52,Daum,6,스피닝,하락
2026-08-15 11:23:52,Daum,7,민주당 박선원 1위,신규
2026-08-15 11:23:52,Daum,8,이만기 나이,신규
2026-08-15 11:23:52,Daum,9,백령도 두무진,하락
2026-08-15 11:23:52,Daum,10,민주당 경선 결과,신규
2026-08-15 11:23:52,Nate,6,양창섭 헤드샷 퇴장,동일
2026-08-15 11:23:52,Nate,7,하영,동일
2026-08-15 11:23:52,Nate,8,백지영 댓글에 정색,new
2026-08-15 11:23:52,Nate,9,김기동 감독 햄스트링,new
2026-08-15 11:23:52,Nate,10,문지인 김기리 이사,new
2026-08-15 11:23:52,Zum_Keyword,1,최태원 노소영 재상고,최태원 9440억 재산분할 불복 상고 대법원서 최종 판단
2026-08-15 11:23:52,Zum_Keyword,2,오늘의 운세,띠별 하루 운세 흐름과 연애 금전 건강 등 실생활 맞춤 조언
2026-08-15 11:23:52,Zum_Keyword,3,정부 수도권 주택 공급,정부 주택 착공 기간 단축 청년 등 실수요자 금융 지원 확대
2026-08-15 11:23:52,Zum_Keyword,4,AI 활용 확산,기업 전반 업무 효율 높이고 신규 서비스 개발에 AI 도입 가속화
2026-08-15 11:23:52,Zum_Keyword,5,대상 2분기 실적,대상 식품사업 수익성 개선 해외 김치 수출 확대가 2분기 성장 견인
2026-08-15 11:23:52,Zum_Keyword,6,재벌X형사2 안보현 정은채,안보현 정은채 공조 시작 폐가에 결박 불길 위기
2026-08-15 11:23:52,Zum_Keyword,7,SK하이닉스 상반기 급여,AI 시대 호실적으로 직원 평균 1.4억 원 급여 23% 상승
2026-08-15 11:23:52,Zum_Keyword,8,삼성전자 상반기 투자,삼성전자 상반기 R&D 시설 역대 최대 55조 반도체/디스플레이 집중
